Variable,Mean,SD,IQR,Min,Max,Skewness,Kurtosis,n,n_Missing,.group
Mass,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Taxo.rank=Dreissenid | Season=F
BodyC,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Taxo.rank=Dreissenid | Season=F
BodyN,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Taxo.rank=Dreissenid | Season=F
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Taxo.rank=Dreissenid | Season=F
BodyCN,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Taxo.rank=Dreissenid | Season=F
Temp,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Taxo.rank=Dreissenid | Season=F
AmTDN,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Taxo.rank=Dreissenid | Season=F
AmTDP,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Taxo.rank=Dreissenid | Season=F
masscorr.N.excr,12.166142090018829,6.526077975972372,8.295441690774942,3.3479632500000003,40.73775465,1.43136486519194,3.1056352095314397,102,0,Taxo.rank=Fish | Season=F
masscorr.P.excr,3.221086772944304,4.1958708371817774,3.552092962519704,0.20891138715728716,18.6276243,1.9631404347835797,3.3389916382953144,102,0,Taxo.rank=Fish | Season=F
masscorr.NP.excr,5.102396028714551,4.769708260501436,6.189241936511343,0.43780606729883553,18.593047258004642,1.1505217161923251,0.3766771196076283,102,0,Taxo.rank=Fish | Season=F
masscorr.N.excr.t,16.046620117822798,27.540590766439973,21.389842187645836,-76.679808,124.9544432125,-0.06173696654683629,3.681165265650049,102,0,Taxo.rank=Fish | Season=F
masscorr.P.excr.t,2.6354331695147506,3.4124757907661882,2.478416865984962,0.068369863625,14.8815263375,1.8610239994120916,2.6763231438448862,102,0,Taxo.rank=Fish | Season=F
masscorr.NP.excr.t,5.08036280176122,10.72264703203169,7.072876950024023,-51.04726096691539,39.8724336865053,-1.150521946201298,8.096447454171503,102,0,Taxo.rank=Fish | Season=F
d15N,9.2261850928,1.6257874554676504,1.8575196770000009,5.007253815,13.59,0.6880292209219048,0.844445289509983,55,47,Taxo.rank=Fish | Season=F
d13C,-19.134563428545455,2.623947813781177,2.3917306099999998,-26.52134115,-13.5,-0.7199607928509687,1.1226752987609314,55,47,Taxo.rank=Fish | Season=F
Mass,150.84313725490196,208.78421022094784,314.75,1,887,1.273278262566602,0.698634387835227,102,0,Taxo.rank=Fish | Season=F
BodyC,45.96285812309091,3.0139271012715834,4.055926909999997,38.52801778,52.43,-0.29558230600960683,0.17046314581222743,55,47,Taxo.rank=Fish | Season=F
BodyN,12.919240196,1.090410529691019,1.5061579600000012,10.66434507,16.33,0.22365121743828842,0.5741175733874583,55,47,Taxo.rank=Fish | Season=F
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,102,Taxo.rank=Fish | Season=F
BodyCN,3.572696402290909,0.28377573363086045,0.34005810400000014,3.21,4.685108664,1.8552109765760927,4.927317525958856,55,47,Taxo.rank=Fish | Season=F
Temp,16.361764705882354,0.3573954510692076,0.6000000000000014,15.9,16.8,0.20983263411146694,-1.5547697049073823,102,0,Taxo.rank=Fish | Season=F
AmTDN,NA,NA,NA,Inf,-Inf,NA,NA,0,102,Taxo.rank=Fish | Season=F
AmTDP,NA,NA,NA,Inf,-Inf,NA,NA,0,102,Taxo.rank=Fish | Season=F
