Variable,Mean,SD,IQR,Min,Max,Skewness,Kurtosis,n,n_Missing,.group
BodyC,48.92521785,NA,0,48.92521785,48.92521785,NA,NA,1,4,Species.code=GS
BodyN,14.55616139,NA,0,14.55616139,14.55616139,NA,NA,1,4,Species.code=GS
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,5,Species.code=GS
BodyCN,3.361134612,NA,0,3.361134612,3.361134612,NA,NA,1,4,Species.code=GS
masscorr.N.excr,14.962485814281699,4.149951859883932,7.18595605166667,6.292535986072423,21.47801038888889,-0.29222716929162484,-0.6887782850827241,22,0,Species.code=LB
masscorr.P.excr,9.875699350382476,4.360005306447339,6.087825624780219,3.1386992748091602,18.6276243,0.5177457467620877,-0.6783679973361184,22,0,Species.code=LB
masscorr.NP.excr,0.7697157327347596,0.32627762367053903,0.3105634069450125,0.43780606729883553,1.98501858398987,2.623368804268188,9.003020745096059,22,0,Species.code=LB
masscorr.N.excr.t,50.3822715986527,20.546916771280937,20.152518363690476,29.15096709923664,124.9544432125,2.421994584284865,7.91287747405504,22,0,Species.code=LB
masscorr.P.excr.t,9.696721595589782,4.450113674264138,5.3735621292045455,0.838649581870229,22.612216785714285,0.9609565516156954,2.4649240932817627,22,0,Species.code=LB
masscorr.NP.excr.t,3.0237954223233374,2.898168795868506,0.5536755656343302,0.8573118278024434,15.69779937666903,4.332082915636727,19.745792719909453,22,0,Species.code=LB
d15N,10.922190296411765,2.0489039944094274,1.3299499499999996,5.007253815,13.59,-1.719765531211135,3.904718753996822,17,5,Species.code=LB
d13C,-22.623514492352943,2.3323684995119165,3.1403060650000043,-26.52134115,-18.24567766,0.2050207253934569,-0.5038757080246313,17,5,Species.code=LB
Mass,91.45454545454545,178.3745997486689,42,4,614,2.1709073393035885,3.768477305806649,22,0,Species.code=LB
BodyC,47.39676377,3.3583864822090557,6.882476019999999,43.11997022,52.17013435,0.1639043714345605,-1.6105778794070553,17,5,Species.code=LB
BodyN,12.212043893529412,0.9391955134096375,1.7952817650000004,10.66434507,14.07007609,-0.008165566300637278,-0.7513903024844918,17,5,Species.code=LB
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,22,Species.code=LB
BodyCN,3.9876762471176472,0.6306558763642726,1.0365859940000002,3.322949096,5.082159953,0.9673169486481871,-0.6812417081144005,17,5,Species.code=LB
masscorr.N.excr,9.711105175132092,4.139791240932371,5.868401758644143,5.166207106761566,19.740411923076923,1.1787276385997032,0.9294837346183547,19,0,Species.code=LP
masscorr.P.excr,1.0943563059524564,1.1723869381712773,0.8813876972527472,0.20891138715728716,4.945279266903914,2.5586150994318464,6.730531554832435,19,0,Species.code=LP
masscorr.NP.excr,7.009878840043647,4.694452120283534,7.017936626137228,0.4717884803320889,15.76687021249869,0.5962995688191243,-0.7847770248856338,19,0,Species.code=LP
masscorr.N.excr.t,14.005885677951746,5.463878095021344,6.193570664982497,8.209571190677966,28.258965996409337,1.454089374189126,1.7483426967937317,19,0,Species.code=LP
masscorr.P.excr.t,1.1923577572136281,1.1379492720015523,0.8287134885330578,0.23861093347763346,4.631576244165171,2.1663775680650836,4.435116497028036,19,0,Species.code=LP
masscorr.NP.excr.t,7.883913888815338,4.442675589388623,6.201129607139621,1.731434944150565,19.89224188311137,1.1153771497356908,1.545044789144672,19,0,Species.code=LP
d15N,NA,NA,NA,Inf,-Inf,NA,NA,0,19,Species.code=LP
d13C,NA,NA,NA,Inf,-Inf,NA,NA,0,19,Species.code=LP
Mass,478.57894736842104,167.8058785188918,186,243,887,0.7661697428202995,0.4665449194964337,19,0,Species.code=LP
BodyC,NA,NA,NA,Inf,-Inf,NA,NA,0,19,Species.code=LP
BodyN,NA,NA,NA,Inf,-Inf,NA,NA,0,19,Species.code=LP
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,19,Species.code=LP
BodyCN,NA,NA,NA,Inf,-Inf,NA,NA,0,19,Species.code=LP
masscorr.N.excr,17.192411406862746,8.255783729189625,14.118872291666666,3.7144546166666665,30.535506965,0.005180123952455693,-1.0850832456386237,17,0,Species.code=RG
masscorr.P.excr,2.6330104293382353,2.1329005710083746,2.6828744821250003,0.3408217683333334,7.84488,1.1992713322173885,0.8694658371458586,17,0,Species.code=RG
masscorr.NP.excr,5.575785554421667,4.9047109169561764,6.668023614366723,0.603164219340151,17.373579719119768,1.2065517573075264,0.9966632249001545,17,0,Species.code=RG
masscorr.N.excr.t,-0.9392024686470578,32.75707735726695,48.23453664541667,-76.679808,53.6395178,-0.5581297362982943,0.2698405427778752,17,0,Species.code=RG
masscorr.P.excr.t,1.9768528087990196,1.6329968684682714,2.0415037280833337,0.34668523525,6.194877816,1.2664641020520928,1.4484698969850904,17,0,Species.code=RG
masscorr.NP.excr.t,0.6180199551758574,13.607809766412545,16.55703158334599,-24.407253342243596,29.863862701924283,0.035111372916756665,0.48634264356372736,17,0,Species.code=RG
d15N,8.781973750705882,0.8321597754734997,1.4717161104999992,7.741518096,10.51,0.5622152170889739,-0.685493442647628,17,0,Species.code=RG
d13C,-18.80484289,1.3852161118063384,1.9485042250000006,-20.31259555,-15.37456988,1.1864373426896688,0.9751708698990194,17,0,Species.code=RG
Mass,2.6470588235294117,0.8617697249402124,1,1,4,-0.5170111475967157,0.01866483678070746,17,0,Species.code=RG
BodyC,46.016692600588236,3.027325826975602,3.0740093249999987,38.90401486,50.49967875,-0.7601607608537412,0.7775335704936792,17,0,Species.code=RG
BodyN,12.580931032941177,0.8421555803062983,1.4149284100000017,10.93976288,13.61385146,-0.5955017815120957,-0.514381282245165,17,0,Species.code=RG
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,17,Species.code=RG
BodyCN,3.6619666640588235,0.169027927074326,0.24991078799999977,3.391624771,4.037968661,0.723776111845503,0.11212500699024243,17,0,Species.code=RG
masscorr.N.excr,11.004346006581844,4.828378988456761,6.643757810535715,3.9397703566666666,23.003689735,0.789342162963643,1.155921001768784,16,0,Species.code=WP
masscorr.P.excr,2.527211229171131,1.7889015523291643,2.8046530882500003,0.4239387160714286,6.49718639,0.756243062183051,-0.04691408722624914,16,0,Species.code=WP
masscorr.NP.excr,3.3648443067196734,3.5652130616642066,1.4391180298425743,0.9576178931923427,13.58127584693444,2.272081161930887,4.575017425149875,16,0,Species.code=WP
masscorr.N.excr.t,4.304834196651786,30.19537602625959,30.763659900148813,-75.02432053,42.23825843,-1.525034255556746,2.3838389612818234,16,0,Species.code=WP
masscorr.P.excr.t,1.8301713573340772,1.4092819349632173,1.5531109160208332,0.4531410625,5.956757515,1.8430842363113478,4.147294256543959,16,0,Species.code=WP
masscorr.NP.excr.t,0.7637720807891345,15.75207013994801,9.182116717592631,-51.04726096691539,22.369843194034583,-2.433480408520007,8.423744506070566,16,0,Species.code=WP
d15N,8.25707947775,0.561695890541217,0.45071681649999995,7.37,9.96,1.7631327218617583,5.506459013500511,16,0,Species.code=WP
d13C,-18.232735838125,0.8276379761031878,1.2430214899999967,-19.58832514,-16.77,0.17260941785171705,-0.6275107163568499,16,0,Species.code=WP
