Species.code,Source,masscorr.N.excr,masscorr.N.excr.sd,masscorr.P.excr,masscorr.P.excr.sd,masscorr.NP.excr,masscorr.NP.excr.sd,Year,biomass.lw.kg.ha,biomass.wb.kg.ha,biomass.g.m2,Pop.N.excr,Pop.N.excr.sd,Pop.P.excr,Pop.P.excr.sd,n.b,biomass.g.m2.sd,biomass.g.m2.se,Agg.biomass.g.m2,Agg.N.excr,Agg.biomass.g.m2.sd,Agg.biomass.g.m2.se,Agg.N.excr.sd,Agg.N.excr.se,Agg.P.excr,Agg.P.excr.sd,Agg.P.excr.se,n.load,Nload,Nload.sd,Nload.se,Pload,Pload.sd,Pload.se
GS,Fish,14.962485814281699,4.149951859883932,9.875699350382476,4.360005306447339,0.7697157327347596,0.32627762367053903,2016,0.294811545,0.515704874,0.0073702886250000006,0.11027783899872427,0.03058634298720014,0.07278675458604386,0.03213449751504846,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
GS,Fish,14.962485814281699,4.149951859883932,9.875699350382476,4.360005306447339,0.7697157327347596,0.32627762367053903,2017,1.83438233,4.574754568,0.045859558249999995,0.6861729897648502,0.190314959053043,0.4528952096183523,0.1999479173213308,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
GS,Fish,14.962485814281699,4.149951859883932,9.875699350382476,4.360005306447339,0.7697157327347596,0.32627762367053903,2018,0.299537,2.120170837,0.007488424999999999,0.11204545283381241,0.031076603256351327,0.07395343390788789,0.032649572736932905,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
GS,Fish,14.962485814281699,4.149951859883932,9.875699350382476,4.360005306447339,0.7697157327347596,0.32627762367053903,2019,0.245273,0.513024099,0.006131825,0.09174734457815788,0.02544677856323279,0.06055606016915902,0.02673478953820645,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
GS,Fish,14.962485814281699,4.149951859883932,9.875699350382476,4.360005306447339,0.7697157327347596,0.32627762367053903,2020,1.53482292,2.493921409,0.038370573000000005,0.5741191541983605,0.1592360307861622,0.3789362428499034,0.16729590189142501,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
GS,Fish,14.962485814281699,4.149951859883932,9.875699350382476,4.360005306447339,0.7697157327347596,0.32627762367053903,2021,0.69021068,0.854903217,0.017255266999999998,0.25818168770914307,0.07160852737944383,0.17040782910257615,0.07523305568416565,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
LP,Fish,17.192411406862746,8.255783729189625,2.6330104293382353,2.1329005710083746,5.575785554421667,4.9047109169561764,2016,6.98867e-4,0.014843695,1.7471675e-5,3.0038022456699867e-4,1.4424237018668913e-4,4.6003102493008106e-5,3.7265345583972744e-5,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
LP,Fish,17.192411406862746,8.255783729189625,2.6330104293382353,2.1329005710083746,5.575785554421667,4.9047109169561764,2017,6.3415e-4,0.013469181,1.585375e-5,2.725641923415503e-4,1.3088513129664003e-4,4.174308909412105e-5,3.381447242762402e-5,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
LP,Fish,17.192411406862746,8.255783729189625,2.6330104293382353,2.1329005710083746,5.575785554421667,4.9047109169561764,2018,4.06e-5,8.61926e-4,1.015e-6,1.7450297577965687e-5,8.37962048512747e-6,2.672505585778309e-6,2.1648940795735e-6,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
LP,Fish,17.192411406862746,8.255783729189625,2.6330104293382353,2.1329005710083746,5.575785554421667,4.9047109169561764,2019,3.42e-4,0.007261448,8.550000000000001e-6,1.4699511752867649e-4,7.058695088457131e-5,2.2512239170841915e-5,1.8236299882121606e-5,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
