Variable,Mean,SD,IQR,Min,Max,Skewness,Kurtosis,n,n_Missing,.group
Pop.N.excr,1018.0519776976591,441.3125285423896,603.7772750314484,536.6909110749605,1911.9613710651358,1.1512353438696339,1.7803047380173838,8,0,Taxo.rank=Dreissenid
Pop.P.excr,180.31671903718714,78.16499447968378,106.94064708670177,95.05835295460292,338.64538246464025,1.1512353438696332,1.78030473801738,8,0,Taxo.rank=Dreissenid
biomass.g.m2,9.352185591362499,4.054052996444936,5.546511627737501,4.9302325574,17.56395348905,1.151235343869635,1.7803047380173846,8,0,Taxo.rank=Dreissenid
Pop.N.excr,0.7550320667642032,0.9607675732182763,1.5958090513700158,1.7450297577965687e-5,3.424977937894616,1.169105986278511,0.37053115591438673,30,0,Taxo.rank=Fish
Pop.P.excr,0.14001195427334245,0.1807818724586545,0.2963589512686312,2.672505585778309e-6,0.48646753105737184,1.065494703522515,-0.5674122273572266,30,0,Taxo.rank=Fish
biomass.g.m2,0.0458781402725,0.061153825544896394,0.07767921151875001,1.015e-6,0.25954441500000003,1.8329962937131676,3.9349643814292747,30,0,Taxo.rank=Fish
