"stream","date","year","TP_mt","SRP_mt","TKN_mt","water_year"
"Maumee",2010-10-01,2010,0.144146799786748,0.0391668364676688,1.19394643297754,2011
"Maumee",2010-10-02,2010,0.108929298963086,0.0246435481073453,0.874324188876888,2011
"Maumee",2010-10-03,2010,0.0991872308640024,0.026101902858948,0.77122422313905,2011
"Maumee",2010-10-04,2010,0.110719213632716,0.0287151391313979,0.894694621532437,2011
"Maumee",2010-10-05,2010,0.0983260118059705,0.0329822849388614,0.897273361089685,2011
"Maumee",2010-10-06,2010,0.104770854507142,0.0335197975863704,0.92695132556155,2011
"Maumee",2010-10-07,2010,0.0767402182820714,0.0269297750922847,0.654412816204398,2011
"Maumee",2010-10-08,2010,0.0498018801753749,0.0170806448472972,0.403255224134903,2011
"Maumee",2010-10-09,2010,0.0404926846876871,0.0111833946848849,0.30016105678111,2011
"Maumee",2010-10-10,2010,0.0252391179925665,0.00667680252871081,0.189383883773704,2011
"Maumee",2010-10-11,2010,0.0539706763642969,0.0142946939333692,0.465905556759415,2011
"Maumee",2010-10-12,2010,0.0388277410969599,0.0103352158745144,0.318569678369151,2011
"Maumee",2010-10-13,2010,0.038709277909011,0.00947617426871862,0.301956207122408,2011
"Maumee",2010-10-14,2010,0.113064965800695,0.0277547359007214,0.866534879515791,2011
"Maumee",2010-10-15,2010,0.133536344163282,0.0303923400656118,1.00000296422133,2011
"Maumee",2010-10-16,2010,0.111596531157842,0.0277827247249703,0.794989475091051,2011
"Maumee",2010-10-17,2010,0.075966170710752,0.0195261194345414,0.55168321307275,2011
"Maumee",2010-10-18,2010,0.0751356534574081,0.0213426120698546,0.552251696648257,2011
"Maumee",2010-10-19,2010,0.0678653144195967,0.021416955345453,0.551230351939141,2011
"Maumee",2010-10-20,2010,0.05871781310976,0.0174744211814646,0.47317162516369,2011
"Maumee",2010-10-21,2010,0.0544431563153695,0.0179441636863427,0.442591388096127,2011
"Maumee",2010-10-22,2010,0.0500973041725834,0.014154051178885,0.411985584314106,2011
"Maumee",2010-10-23,2010,0.0383580230578373,0.0124442618583951,0.324894222950714,2011
"Maumee",2010-10-24,2010,0.0661749753746995,0.0192447632467238,0.533338789627043,2011
"Maumee",2010-10-25,2010,0.086256442992482,0.023632892214949,0.691207893406031,2011
"Maumee",2010-10-26,2010,0.0767319427402863,0.0221220094863685,0.600376831224312,2011
"Maumee",2010-10-27,2010,0.0935492198464696,0.0256146673389143,0.735864845399462,2011
"Maumee",2010-10-28,2010,0.132696385846747,0.0352073475351449,1.06617265499285,2011
"Maumee",2010-10-29,2010,0.0614310653905402,0.0154868232076992,0.50182469467348,2011
"Maumee",2010-10-30,2010,0.0423098542089014,0.010040746041769,0.345745163043544,2011
"Maumee",2010-10-31,2010,0.048505317464645,0.0117665604320867,0.410263562115885,2011
"Maumee",2010-11-01,2010,0.0598454125948493,0.0132264728367872,0.481182583395607,2011
"Maumee",2010-11-02,2010,0.0652356126937207,0.0166463287563287,0.584421109580298,2011
"Maumee",2010-11-03,2010,0.0703205019117595,0.0200915719747884,0.670610418539791,2011
"Maumee",2010-11-04,2010,0.0546944685554792,0.0144398112026858,0.520186831326142,2011
"Maumee",2010-11-05,2010,0.0647214403769229,0.0182531172463218,0.584806738817896,2011
"Maumee",2010-11-06,2010,0.0487318703602268,0.0148673502793912,0.46956047965744,2011
"Maumee",2010-11-07,2010,0.0554017246143863,0.015795385315591,0.503566313941826,2011
"Maumee",2010-11-08,2010,0.0508715556251983,0.0122178231363388,0.474747124670864,2011
"Maumee",2010-11-09,2010,0.0706077298808881,0.00978370881488099,0.579124836235064,2011
"Maumee",2010-11-10,2010,0.0602867041445419,0.00764831321236725,0.631789234265295,2011
"Maumee",2010-11-11,2010,0.0625151430150791,0.0136593780691907,0.647483429216293,2011
"Maumee",2010-11-12,2010,0.0735725635250881,0.0130857539666193,0.669252789303427,2011
"Maumee",2010-11-13,2010,0.0623440295213751,0.0118281162728301,0.598613571995259,2011
"Maumee",2010-11-14,2010,0.0962048797388913,0.0196904314482269,0.94674590773078,2011
"Maumee",2010-11-15,2010,0.0490108125935055,0.0108948944964723,0.470344917019579,2011
"Maumee",2010-11-16,2010,0.0529852664131205,0.0133789271143252,0.594920221550655,2011
"Maumee",2010-11-17,2010,0.140779626793969,0.0326015977838665,1.60357050917715,2011
"Maumee",2010-11-18,2010,0.0671805179242042,0.0106991195212621,0.840254107518657,2011
"Maumee",2010-11-19,2010,0.0688392961445549,0.0120261420975427,0.839092962764412,2011
"Maumee",2010-11-20,2010,0.109830495065544,0.0113296020395282,1.37927908123574,2011
"Maumee",2010-11-21,2010,0.126351485756639,0.0139115710764971,1.58434150187694,2011
"Maumee",2010-11-22,2010,0.107778209634336,0.00689529803549368,1.31414194320775,2011
"Maumee",2010-11-23,2010,0.180401917765326,0.0115538306883411,2.31056343888421,2011
"Maumee",2010-11-24,2010,0.0428896926133603,0.00152825341495882,0.527000935674508,2011
"Maumee",2010-11-25,2010,0.139711843362568,0.00472531601000794,1.75356477131394,2011
"Maumee",2010-11-26,2010,0.459614660746865,0.0128210344925161,4.82614819594045,2011
"Maumee",2010-11-27,2010,1.47761468361785,0.0606408214891047,18.5008408494204,2011
"Maumee",2010-11-28,2010,1.32753024070642,0.07767877359312,15.7509249214769,2011
