SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.388,,0.1,6968,NG/G DWT,"2,2',3,3',4,5,5',6'-OCTACHLOROBIPHENYL (PCB 199)","2,2',3,3',4,5,5',6'-OCTACHLOROBIPHÉNYLE (BPC 199)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.232,,0.1,6970,NG/G DWT,"2,2',3,3',4,5',6,6'-OCTACHLOROBIPHENYL (PCB 201)","2,2',3,3',4,5',6,6'-OCTACHLOROBIPHÉNYLE (BPC 201)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.129,,0.1,6948,NG/G DWT,"2,2',3,3',4,5',6-HEPTACHLOROBIPHENYL (PCB 175)","2,2',3,3',4,5',6-HEPTACHLOROBIPHÉNYLE (BPC 175)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.233,,0.1,6950,NG/G DWT,"2,2',3,3',4,5',6'-HEPTACHLOROBIPHENYL (PCB 177)","2,2',3,3',4,5',6'-HEPTACHLOROBIPHÉNYLE (BPC 177)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.573,,0.1,6908,NG/G DWT,"2,2',3,3',4,5-HEXACHLOROBIPHENYL (PCB 129)","2,2',3,3',4,5-HEXACHLOROBIPHÉNYLE (BPC 129)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.573,,0.1,6909,NG/G DWT,"2,2',3,3',4,5'-HEXACHLOROBIPHENYL (PCB 130)","2,2',3,3',4,5'-HEXACHLOROBIPHÉNYLE (BPC 130)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.0956,,0.1,6949,NG/G DWT,"2,2',3,3',4,6,6'-HEPTACHLOROBIPHENYL (PCB 176)","2,2',3,3',4,6,6'-HEPTACHLOROBIPHÉNYLE (BPC 176)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.115,,0.1,6910,NG/G DWT,"2,2',3,3',4,6-HEXACHLOROBIPHENYL (PCB 131)/2,2',3,4,5,6-HEXACHLOROBIPHENYL (PCB 142)","2,2',3,3',4,6-HEXACHLOROBIPHÉNYLE (BPC 131)/2,2',3,4,5,6-HEXACHLOROBIPHÉNYLE (BPC 142)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.438,,0.1,6870,NG/G DWT,"2,2',3,3',4-PENTACHLOROBIPHENYL (PCB 82)","2,2',3,3',4-PENTACHLOROBIPHÉNYLE (BPC 82)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.129,,0.1,6951,NG/G DWT,"2,2',3,3',5,5',6-HEPTACHLOROBIPHENYL (PCB 178)","2,2',3,3',5,5',6-HEPTACHLOROBIPHÉNYLE (BPC 178)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.158,,0.1,6952,NG/G DWT,"2,2',3,3',5,6,6'-HEPTACHLOROBIPHENYL (PCB 179)","2,2',3,3',5,6,6'-HEPTACHLOROBIPHÉNYLE (BPC 179)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.187,,0.1,6915,NG/G DWT,"2,2',3,3',5,6'/2,2',3,4,5',6-HEXACHLOROBIPHENYL (PCB 135/144)","2,2',3,3',5,6'/2,2',3,4,5',6-HEXACHLOROBIPHÉNYLE (BPC 135/144)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.154,,0.1,6917,NG/G DWT,"2,2',3,3',6,6'-HEXACHLOROBIPHENYL (PCB 136)","2,2',3,3',6,6'-HEXACHLOROBIPHÉNYLE (BPC 136)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.443,,0.1,6841,NG/G DWT,"2,2',3,3'-TETRACHLOROBIPHENYL (PCB 40)","2,2',3,3'-TÉTRACHLOROBIPHÉNYLE (BPC 40)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.781,,0.1,6953,NG/G DWT,"2,2',3,4,4',5,5'-HEPTACHLOROBIPHENYL (PCB 180)","2,2',3,4,4',5,5'-HEPTACHLOROBIPHÉNYLE (BPC 180)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.529,,0.1,6954,NG/G DWT,"2,2',3,4,4',5',6/2,2',3,4',5,5',6-HEPTACHLOROBIPHENYL (PCB 182/187)","2,2',3,4,4',5',6/2,2',3,4',5,5',6-HEPTACHLOROBIPHÉNYLE (BPC 182/187)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.184,,0.1,6955,NG/G DWT,"2,2',3,4,4',5',6-HEPTACHLOROBIPHENYL (PCB 183)","2,2',3,4,4',5',6-HEPTACHLOROBIPHÉNYLE (BPC 183)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,2.21,,0.1,6919,NG/G DWT,"2,2',3,4,4',5/2,3,3',4',5,6/2,3,3',4',5',6-HEXACHLOROBIPHENYL (PCB 138/163/164)","2,2',3,4,4',5/2,3,3',4',5,6/2,3,3',4',5',6-HEXACHLOROBIPHÉNYLE (BPC 138/163/164)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.573,,0.1,6918,NG/G DWT,"2,2',3,4,4',5-HEXACHLOROBIPHENYL (PCB 137)","2,2',3,4,4',5-HEXACHLOROBIPHÉNYLE (BPC 137)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.127,,0.1,6957,NG/G DWT,"2,2',3,4,5,5',6-HEPTACHLOROBIPHENYL (PCB 185)","2,2',3,4,5,5',6-HEPTACHLOROBIPHÉNYLE (BPC 185)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.573,,0.1,6922,NG/G DWT,"2,2',3,4,5,5'-HEXACHLOROBIPHENYL (PCB 141)","2,2',3,4,5,5'-HEXACHLOROBIPHÉNYLE (BPC 141)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.173,,0.1,6924,NG/G DWT,"2,2',3,4',5,5'-HEXACHLOROBIPHENYL (PCB 146)","2,2',3,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 146)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.132,,0.1,6878,NG/G DWT,"2,2',3,4',6-PENTACHLOROBIPHENYL (PCB 91)","2,2',3,4',6-PENTACHLOROBIPHÉNYLE (BPC 91)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.238,,0.1,6928,NG/G DWT,"2,2',3,5,5',6-HEXACHLOROBIPHENYL (PCB 151)","2,2',3,5,5',6-HEXACHLOROBIPHÉNYLE (BPC 151)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.685,,0.1,6845,NG/G DWT,"2,2',3,5'-TETRACHLOROBIPHENYL (PCB 44)","2,2',3,5'-TÉTRACHLOROBIPHÉNYLE (BPC 44)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.348,,0.1,6846,NG/G DWT,"2,2',3,6-TETRACHLOROBIPHENYL (PCB 45)","2,2',3,6-TÉTRACHLOROBIPHÉNYLE (BPC 45)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.348,,0.1,6847,NG/G DWT,"2,2',3,6'-TETRACHLOROBIPHENYL (PCB 46)","2,2',3,6'-TÉTRACHLOROBIPHÉNYLE (BPC 46)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.46,,0.1,6822,NG/G DWT,"2,2',3/2,4',6-TRICHLOROBIPHENYL (PCB 16/32)","2,2',3/2,4',6-TRICHLOROBIPHÉNYLE (BPC 16/32)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,1.55,,0.1,6930,NG/G DWT,"2,2',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 153)","2,2',4,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 153)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.52,,0.1,6884,NG/G DWT,"2,2',4,4',5-PENTACHLOROBIPHENYL (PCB 99)","2,2',4,4',5-PENTACHLOROBIPHÉNYLE (BPC 99)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.268,,0.1,6849,NG/G DWT,"2,2',4,6-TETRACHLOROBIPHENYL (PCB 50)","2,2',4,6-TÉTRACHLOROBIPHÉNYLE (BPC 50)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.46,,0.1,6823,NG/G DWT,"2,2',4-TRICHLOROBIPHENYL (PCB 17)","2,2',4-TRICHLOROBIPHÉNYLE (BPC 17)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.46,,0.1,6824,NG/G DWT,"2,2',5-TRICHLOROBIPHENYL (PCB 18)","2,2',5-TRICHLOROBIPHÉNYLE (BPC 18)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.499,,0.1,6825,NG/G DWT,"2,2',6-TRICHLOROBIPHENYL (PCB 19)","2,2',6-TRICHLOROBIPHÉNYLE (BPC 19)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.573,,0.1,6907,NG/G DWT,"2,2'3,3',4,4'-HEXACHLOROBIPHENYL (PCB 128)","2,2'3,3',4,4'-HEXACHLOROBIPHÉNYLE (BPC 128)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.292,,0.1,6973,NG/G DWT,"2,3,3',4,4',5,5',6-OCTACHLOROBIPHENYL (PCB 205)","2,3,3',4,4',5,5',6-OCTACHLOROBIPHÉNYLE (BPC 205)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.109,,0.1,6960,NG/G DWT,"2,3,3',4,4',5,5'-HEPTACHLOROBIPHENYL (PCB 189)","2,3,3',4,4',5,5'-HEPTACHLOROBIPHÉNYLE (BPC 189)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.133,,0.1,6961,NG/G DWT,"2,3,3',4,4',5',6-HEPTACHLOROBIPHENYL (PCB 191)","2,3,3',4,4',5',6-HEPTACHLOROBIPHÉNYLE (BPC 191)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.431,,0.1,6933,NG/G DWT,"2,3,3',4,4',5-HEXACHLOROBIPHENYL (PCB 156)","2,3,3',4,4',5-HEXACHLOROBIPHÉNYLE (BPC 156)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.442,,0.1,6934,NG/G DWT,"2,3,3',4,4',5'-HEXACHLOROBIPHENYL (PCB 157)","2,3,3',4,4',5'-HEXACHLOROBIPHÉNYLE (BPC 157)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.133,,0.1,6962,NG/G DWT,"2,3,3',4',5,5',6-HEPTACHLOROBIPHENYL (PCB 193)","2,3,3',4',5,5',6-HEPTACHLOROBIPHÉNYLE (BPC 193)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,1.47,,0.1,6891,NG/G DWT,"2,3,3',4',6-PENTACHLOROBIPHENYL (PCB 110)","2,3,3',4',6-PENTACHLOROBIPHÉNYLE (BPC 110)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.665,,0.1,6855,NG/G DWT,"2,3,3',4'/2,3,4,4'-TETRACHLOROBIPHENYL (PCB 56/60)","2,3,3',4'/2,3,4,4'-TÉTRACHLOROBIPHÉNYLE (BPC 56/60)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.426,,0.1,6941,NG/G DWT,"2,3',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 167)","2,3',4,4',5,5'-HEXACHLOROBIPHÉNYLE (PCB 167)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.287,,0.1,6895,NG/G DWT,"2,3,4,4',5-PENTACHLOROBIPHENYL (PCB 114)","2,3,4,4',5-PENTACHLOROBIPHÉNYLE (BPC 114)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.313,,0.1,6898,NG/G DWT,"2',3,4,4',5-PENTACHLOROBIPHENYL (PCB 123)","2',3,4,4',5-PENTACHLOROBIPHÉNYLE (BPC 123)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,1.26,,0.1,6864,NG/G DWT,"2,3',4',5/2,3',4',5'-TETRACHLOROBIPHENYL (PCB 70/76)","2,3',4',5/2,3',4',5'-TÉTRACHLOROBIPHÉNYLE (BPC 70/76)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.535,,0.1,6827,NG/G DWT,"2,3,4'-TRICHLOROBIPHENYL (PCB 22)","2,3,4'-TRICHLOROBIPHÉNYLE (BPC 22)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.295,,0.1,6830,NG/G DWT,"2,3',4-TRICHLOROBIPHENYL (PCB 25)","2,3',4-TRICHLOROBIPHÉNYLE (BPC 25)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.295,,0.1,6831,NG/G DWT,"2,3',5-TRICHLOROBIPHENYL (PCB 26)","2,3',5-TRICHLOROBIPHÉNYLE (BPC 26)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,29.4,,1,1525,NG/G,"2,3,5-TRIMETHYLNAPHTHALENE","2,3,5-TRIMÉTHYLNAPHTALÈNE",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.46,,0.1,6829,NG/G DWT,"2,3,6/2,3',6-TRICHLOROBIPHENYL (PCB 24/27)","2,3,6/2,3',6-TRICHLOROBIPHÉNYLE (BPC 24/27)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.746,,0.1,6832,NG/G DWT,"2,4,4'-TRICHLOROBIPHENYL (PCB 28)","2,4,4'-TRICHLOROBIPHÉNYLE (BPC 28)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.295,,0.1,6833,NG/G DWT,"2,4,5-TRICHLOROBIPHENYL (PCB 29)","2,4,5-TRICHLOROBIPHÉNYLE (BPC 29)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,0.662,,0.1,6835,NG/G DWT,"2,4',5-TRICHLOROBIPHENYL (PCB 31)","2,4',5-TRICHLOROBIPHÉNYLE (BPC 31)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.289,,0.5,6817,NG/G DWT,"2,4-DICHLORO-1-PHENYLBENZENE/1,4-DICHLORO-2-PHENYLBENZENE (PCB 7/9)","2,4-DICHLORO-1-PHÉNYLBENZÈNE/1,4-DICHLORO-2-PHÉNYLBENZÈNE (BPC 7/9)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,15.9,,1,1521,NG/G,"2,6-DIMETHYLNAPHTHALENE","2,6-DIMÉTHYLNAPHTALÈNE",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.739,,0.5,6811,NG/G DWT,2-CHLOROBIPHENYL (PCB 1),2-CHLOROBIPHÉNYLE (BPC 1),P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,22.2,,1,1518,NG/G,2-METHYLNAPHTHALENE,2-MÉTHYLNAPHTALÈNE,P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.452,,0.1,6942,NG/G DWT,"3,3',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 169)","3,3',4,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 169)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.308,,0.1,6906,NG/G DWT,"3,3',4,4'5-PENTACHLOROBIPHENYL (PCB 126)","3,3',4,4'5-PENTACHLOROBIPHÉNYLE (BPC 126)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.519,,0.1,6866,NG/G DWT,"3,3'4,4'-TETRACHLOROBIPHENYL (PCB 77)","3,3'4,4'-TÉTRACHLOROBIPHÉNYLE (BPC 77)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.519,,0.1,6869,NG/G DWT,"3,4,4',5-TETRACHLOROBIPHENYL (PCB 81)","3,4,4',5-TÉTRACHLOROBIPHÉNYLE (BPC 81)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.289,,0.5,6820,NG/G DWT,"3,5-DICHLOROBIPHENYL (PCB 14)","3,5-DICHLOROBIPHÉNYL (BPC 14)",P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.32,,0.5,6821,NG/G DWT,"4,4'-DICHLOROBIPHENYL (PCB 15)","4,4'-DICHLOROBIPHÉNYLE (BPC 15)",P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.08,-0.09,<,3,3,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,3,3,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.09,-0.1,<,3,3,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.16,-0.18,<,4,4,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.2,-0.22,<,4,4,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.18,-0.2,<,5,5,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.03,-0.04,<,5,5,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.14,-0.15,<,5,5,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,0,-0.01,<,5,5,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.1,-0.11,<,5,5,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.22,-0.24,<,6,6,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.02,-0.03,<,6,6,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.15,-0.16,<,6,6,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.07,-0.08,<,7,7,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.01,-0.02,<,7,7,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.06,-0.07,<,8,8,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.04,-0.05,<,8,8,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.11,-0.12,<,9,9,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.05,-0.06,<,10,10,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.12,-0.13,<,10,10,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.CORE,-0.13,-0.14,<,20,20,,58251,NG/G DWT,"9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)",V
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,4.37,,0.5,1531,NG/G,ACENAPHTHENE,ACENAPHTÈNE,P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,8.04,,0.5,1530,NG/G,ACENAPHTHYLENE,ACÉNAPHTYLÈNE,P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,1.28,,0.5,5687,NG/G DWT,ALDRIN,ALDRINE,P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,1.6,,0.2,5682,NG/G DWT,ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),ALPHA-HEXACHLORURE DE BENZÈNE OU ALPHA-(HEXACHLOROCYCLOHEXANE OU HCH OU BHC),P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.179,,0.1,5689,NG/G DWT,ALPHA-CHLORDANE,ALPHA-CHLORDANE,P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,<,0.161,,0.1,5677,NG/G DWT,ALPHA-ENDOSULFAN,ALPHA-ENDOSULFAN,P
ON02IE1571,2014-07-23 0:00,S.SURFACE,0,-0.03,,13500,,20,108264,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.05,-0.06,,14900,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.06,-0.07,,14900,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.04,-0.05,,15100,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.12,-0.13,,15200,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.11,-0.12,,15400,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.01,-0.02,,15400,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,0,-0.01,,15500,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.02,-0.03,,15900,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.09,-0.1,,15900,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.08,-0.09,,16000,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.03,-0.04,,16200,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.1,-0.11,,16200,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.18,-0.2,,16200,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.16,-0.18,,16200,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.13,-0.14,,16200,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.14,-0.15,,16300,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.07,-0.08,,16400,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.2,-0.22,,16500,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.22,-0.24,,16900,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
ON02IE1571,2014-07-23 0:00,S.CORE,-0.15,-0.16,,16900,50,50,103202,µG/G,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
