SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0824,,0.5,6814,NG/G DWT,"1-CHLORO-2-(2-CHLOROPHENYL)BENZENE/1,3-DICHLORO-2-PHENYLBENZENE (PCB 4/10)","1-CHLORO-2-(2-CHLOROPHÉNYL)BENZÈNE/1,3-DICHLORO-2-PHÉNYLBENZÈNE (BPC 4/10)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0466,,0.5,6816,NG/G DWT,1-CHLORO-3-(2-CHLOROPHENYL)BENZENE (PCB 6),1-CHLORO-3-(2-CHLOROPHÉNYL)BENZÈNE (BPC 6),P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0466,,0.5,6815,NG/G DWT,"1-CHLORO-4-(2-CHLOROPHENYL)BENZENE/1,2-DICHLORO-3-PHENYLBENZENE (PCB 8/5)","1-CHLORO-4-(2-CHLOROPHÉNYL)BENZÈNE/1,2-DICHLORO-3-PHÉNYLBENZÈNE (BPC 8/5)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,1.5,,1,1541,NG/G,1-METHYLPHENANTHRENE,1-MÉTHYLPHÉNANTHRÈNE,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.166,,0.1,6974,NG/G DWT,"2,2',3,3',4,4',5,5',6-NONACHLOROBIPHENYL (PCB 206)","2,2',3,3',4,4',5,5',6-NONACHLOROBIPHÉNYLE (BPC 206)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.113,,0.1,6963,NG/G DWT,"2,2',3,3',4,4',5,5'-OCTACHLOROBIPHENYL (PCB 194)","2,2',3,3',4,4',5,5'-OCTACHLOROBIPHÉNYLE (BPC 194)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.136,,0.1,6975,NG/G DWT,"2,2',3,3',4,4',5,6,6'-NONACHLOROBIPHENYL (PCB 207)","2,2',3,3',4,4',5,6,6'-NONACHLOROBIPHÉNYLE (BPC 207)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.116,,0.1,6965,NG/G DWT,"2,2',3,3',4,4',5,6'/2,2',3,4,4',5,5',6-OCTACHLOROBIPHENYL (PCB 196/203)","2,2',3,3',4,4',5,6'/2,2',3,4,4',5,5',6-OCTACHLOROBIPHÉNYLE (BPC 196/203)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.113,,0.1,6964,NG/G DWT,"2,2,'3,3',4,4',5,6-OCTACHLOROBIPHENYL (PCB 195)","2,2,'3,3',4,4',5,6-OCTACHLOROBIPHÉNYLE (BPC 195)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0592,,0.1,6943,NG/G DWT,"2,2',3,3',4,4',5/2,3,3',4,4',5,6-HEPTACHLOROBIPHÉNYLE (PCB 170/190)","2,2',3,3',4,4',5/2,3,3',4,4',5,6-HEPTACHLOROBIPHENYL (BPC 170/190)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0692,,0.1,6966,NG/G DWT,"2,2',3,3',4,4',6,6'-OCTACHLOROBIPHENYL (PCB 197)","2,2',3,3',4,4',6,6'-OCTACHLOROBIPHÉNYLE (BPC 197)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0478,,0.1,6944,NG/G DWT,"2,2',3,3',4,4',6-HEPTACHLOROBIPHENYL (PCB 171)","2,2',3,3',4,4',6-HEPTACHLOROBIPHÉNYLE (BPC 171)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.136,,0.1,6976,NG/G DWT,"2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHENYL (PCB 208)","2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHÉNYLE (BPC 208)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.116,,0.1,6967,NG/G DWT,"2,2',3,3',4,5,5',6-OCTACHLOROBIPHENYL (PCB 198)","2,2',3,3',4,5,5',6-OCTACHLOROBIPHÉNYLE (BPC 198)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.116,,0.1,6968,NG/G DWT,"2,2',3,3',4,5,5',6'-OCTACHLOROBIPHENYL (PCB 199)","2,2',3,3',4,5,5',6'-OCTACHLOROBIPHÉNYLE (BPC 199)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0692,,0.1,6970,NG/G DWT,"2,2',3,3',4,5',6,6'-OCTACHLOROBIPHENYL (PCB 201)","2,2',3,3',4,5',6,6'-OCTACHLOROBIPHÉNYLE (BPC 201)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0464,,0.1,6948,NG/G DWT,"2,2',3,3',4,5',6-HEPTACHLOROBIPHENYL (PCB 175)","2,2',3,3',4,5',6-HEPTACHLOROBIPHÉNYLE (BPC 175)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0454,,0.1,6950,NG/G DWT,"2,2',3,3',4,5',6'-HEPTACHLOROBIPHENYL (PCB 177)","2,2',3,3',4,5',6'-HEPTACHLOROBIPHÉNYLE (BPC 177)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0508,,0.1,6908,NG/G DWT,"2,2',3,3',4,5-HEXACHLOROBIPHENYL (PCB 129)","2,2',3,3',4,5-HEXACHLOROBIPHÉNYLE (BPC 129)",P
