Date and Time (UTC),Site,Weather Station,Sensor,Sensor Value (ADC),Sensor Battery (V),Sensor Tx Level,Sensor Temperature (°C),Sensor Tilt (°),Sensor Depth (m),Turbidity (NTU),Salinity (PSU),Dissolved Oxygen (%),DO Concentration (mg/l),CDOM (ppb),Chlorophyll (µg/L),Phycocyanin (ppb),Air Temperature (°C),Barometric Air Pressure (mb),Wind Speed (kph),Wind Gusts (kph),Wind Direction
2021-08-15 4:00,raeon-1,,aquaMeasure-671125,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671077,201,,,20.1,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-684503,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671121,179,,,,,,,,98.3,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671073,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671132,165,,,,,,,,90.6,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-670792,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-684005,7,,,,,,,,,,,,12.4,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-670774,214,,,,,,,,117.5,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671127,51,,,,,,,,28,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-686160,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-684501,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-670772,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671124,139,,,,,,,,76.3,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671074,206,,,,,,,,113.1,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-682502,101,,,,,,,,,,,19.9,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671125,169,,,,,,,,92.8,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671121,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-684004,41,,,,,,,,,,,,72.6,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671132,242,,,24.2,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-684005,242,,,24.2,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671077,16,,,,16,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-670774,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671123,174,,,,,,,,95.5,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-684503,1,,,,,,,,,,1,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-671127,184,,,18.4,,,,,,,,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-682509,17,,,,17,,,,,,,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-682517,27,,,,,,,,,,,5.3,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-684501,9,,,,9,,,,,,,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-670772,177,,,,,,,,97.2,,,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-671074,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-682523,19,,,,,,,,,,,3.7,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671123,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671124,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671073,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-670774,211,,,,,,,,115.8,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-682502,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671121,179,,,,,,,,98.3,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671077,69,,,,,,,,37.9,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671127,51,,,,,,,,28,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671125,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-684004,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671132,165,,,,,,,,90.6,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-684005,7,,,,,,,,,,,,12.4,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-684503,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-670792,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-670772,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-686160,179,,,,179,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-684501,2,,,,,,,,,,1,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-684504,1,,,,,,,,,,1,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671074,206,,,,,,,,113.1,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671124,138,,,,,,,,75.8,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671073,168,,,,168,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671121,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671077,200,,,20,,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671127,184,,,18.4,,,,,,,,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-671125,167,,,,,,,,91.7,,,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-682502,101,,,,,,,,,,,19.9,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-684004,40,,,,,,,,,,,,70.9,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-684503,3,,,,,,,,,,2,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-684005,243,,,24.3,,,,,,,,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-684501,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-670792,183,,,,,,,,100.5,,,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-670772,178,,,,,,,,97.7,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-671124,248,,,24.8,,,,,,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-671073,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-682006,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-671074,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-670774,203,,,,,,,,111.5,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-671121,174,,,,174,,,,,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-682505,2,,,,2,,,,,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-671127,51,,,,,,,,28,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-671125,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-671077,69,,,,,,,,37.9,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-682502,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:06,raeon-1,,aquaMeasure-684004,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-670792,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-671123,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-684505,,,,,,,,,,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-684503,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-670772,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:07,raeon-1,Airmar-60225551,,,,,,,,,,,,,,,18.3,1026.2,9.6,12.7,E
2021-08-15 4:07,raeon-1,Airmar-60225552,,,,,,,,,,,,,,,19.4,1027.2,10.6,14.3,NE
2021-08-15 4:07,raeon-1,,aquaMeasure-684005,5,,,,,,,,,,,,8.9,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-671132,165,,,,,,,,90.6,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-682007,5,,,,5,,,,,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-671124,138,,,,,,,,75.8,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-686160,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-671074,207,,,,,,,,113.6,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-684501,2,,,,,,,,,,1,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-671073,170,,,,,,,,93.3,,,,,,,,,
2021-08-15 4:07,raeon-1,,aquaMeasure-670774,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-671121,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-671127,184,,,18.4,,,,,,,,,,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-671077,199,,,19.9,,,,,,,,,,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-671125,169,,,,169,,,,,,,,,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-684004,42,,,,,,,,,,,,74.4,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-684000,15,,,,,,,,,,,,26.6,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-671123,174,,,,,,,,95.5,,,,,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-682502,9,,,,9,,,,,,,,,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-684001,32,,,,,,,,,,,,56.7,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-671124,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:08,raeon-1,,aquaMeasure-670792,183,,,,,,,,100.5,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-684005,243,,,24.3,,,,,,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-671074,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-684501,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-670772,179,,,,,,,,98.3,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-682003,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-682524,49,,,,,,,,,,,9.6,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-671073,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-671125,167,,,,,,,,91.7,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-684004,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-671077,69,,,,,,,,37.9,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-671121,178,,,,,,,,97.7,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-670774,9,,,,9,,,,,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-671127,51,,,,,,,,28,,,,,,,,,
2021-08-15 4:09,raeon-1,,aquaMeasure-684500,252,,,25.2,,,,,,,,,,,,,,
2021-08-15 4:10,raeon-1,,aquaMeasure-684503,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:10,raeon-1,,aquaMeasure-671123,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:10,raeon-1,,aquaMeasure-682502,99,,,,,,,,,,,19.5,,,,,,
2021-08-15 4:10,raeon-1,,aquaMeasure-684005,6,,,,,,,,,,,,10.6,,,,,
2021-08-15 4:10,raeon-1,,aquaMeasure-671124,169,,,,169,,,,,,,,,,,,,
2021-08-15 4:10,raeon-1,,aquaMeasure-670792,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:10,raeon-1,,aquaMeasure-686160,,,,,,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-684501,2,,,,,,,,,,1,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-684004,3,,,,3,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-671077,198,,,19.8,,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-670772,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-671121,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-671125,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-682008,254,,,,,,15,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-671127,184,,,18.4,,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-671123,174,,,,,,,,95.5,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-670774,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-682502,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-684503,9,,,,9,,,,,,,,,,,,,
2021-08-15 4:11,raeon-1,,aquaMeasure-684005,243,,,24.3,,,,,,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-682509,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-671124,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-671077,71,,,,,,,,39,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-684004,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-682517,243,,,24.3,,,,,,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-670792,176,,,,176,,,,,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-671132,165,,,,,,,,90.6,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-671073,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-671125,168,,,,,,,,92.2,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-684501,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-670772,168,,,,168,,,,,,,,,,,,,
2021-08-15 4:12,raeon-1,,aquaMeasure-671074,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-671127,164,,,,164,,,,,,,,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-682502,103,,,,,,,,,,,20.3,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-671121,179,,,,,,,,98.3,,,,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-682523,248,,,24.8,,,,,,,,,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-671123,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-684503,2,,,,,,,,,,1,,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-670774,201,,,,,,,,110.4,,,,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-684005,10,,,,10,,,,,,,,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-670792,183,,,,,,,,100.5,,,,,,,,,
2021-08-15 4:13,raeon-1,,aquaMeasure-671124,139,,,,,,,,76.3,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-686160,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-684501,2,,,,,,,,,,1,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-671077,198,,,19.8,,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-671074,162,,,,162,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-682502,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-671073,170,,,,,,,,93.3,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-684504,248,,,24.8,,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-671125,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-684004,45,,,,,,,,,,,,79.7,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-671127,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-670772,177,,,,,,,,97.2,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-671132,242,,,24.2,,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-671123,172,,,,172,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-684503,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:14,raeon-1,,aquaMeasure-671121,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:15,raeon-1,,aquaMeasure-670774,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:15,raeon-1,,aquaMeasure-671124,248,,,24.8,,,,,,,,,,,,,,
2021-08-15 4:15,raeon-1,,aquaMeasure-671077,32,,,,32,,,,,,,,,,,,,
2021-08-15 4:15,raeon-1,,aquaMeasure-670792,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:15,raeon-1,,aquaMeasure-671127,51,,,,,,,,28,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-671073,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-684501,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-671121,178,,,,,,,,97.7,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-671123,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-671074,206,,,,,,,,113.1,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-670772,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-684004,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-671125,169,,,,,,,,92.8,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-684503,2,,,,,,,,,,1,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-682502,80,,,,,,,,,,,15.7,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-671132,164,,,,,,,,90,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-682006,254,,,,,,15,,,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-670774,225,,,,,,,,123.5,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-684005,7,,,,,,,,,,,,12.4,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-684505,243,,,24.3,,,,,,,,,,,,,,
2021-08-15 4:16,raeon-1,,aquaMeasure-682505,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-671124,139,,,,,,,,76.3,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-686160,,,,,,,,,,,,,,,,,,
2021-08-15 4:17,raeon-1,Airmar-60225552,,,,,,,,,,,,,,,19.3,1027.1,11.7,15.1,NE
2021-08-15 4:17,raeon-1,Airmar-60225551,,,,,,,,,,,,,,,18.1,1026.4,9.3,11.3,NE
2021-08-15 4:17,raeon-1,,aquaMeasure-671077,200,1.5,,,,,,,,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-671074,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-671123,174,,,,,,,,95.5,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-671073,170,,,,,,,,93.3,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-684503,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-682502,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-671127,184,,,18.4,,,,,,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-670792,183,,,,,,,,100.5,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-671121,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-684004,43,,,,,,,,,,,,76.2,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-671132,242,,,24.2,,,,,,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-682007,254,,,,,,15,,,,,,,,,,,
2021-08-15 4:17,raeon-1,,aquaMeasure-684501,7,,,,7,,,,,,,,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-671125,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-670774,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-670772,177,,,,,,,,97.2,,,,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-684001,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-684000,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-682502,91,,,,,,,,,,,17.9,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-684005,243,,,24.3,,,,,,,,,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-671124,248,,,24.8,,,,,,,,,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-682003,254,,,,,,15,,,,,,,,,,,
2021-08-15 4:18,raeon-1,,aquaMeasure-682524,252,,,25.2,,,,,,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-671073,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-671074,206,,,,,,,,113.1,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-682005,98,,,,,,5.8,,,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-671127,51,,,,,,,,28,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-670792,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-671123,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-684501,72,1,,,,,,,,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-684503,1,,,,,,,,,,1,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-671077,65,,,,,,,,35.7,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-671121,178,,,,,,,,97.7,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-670772,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-670774,222,,,,,,,,121.9,,,,,,,,,
2021-08-15 4:19,raeon-1,,aquaMeasure-671125,172,,,,,,,,94.4,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-684500,,,,,,,,,,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-684005,8,,,,,,,,,,,,14.2,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-671124,139,,,,,,,,76.3,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-686160,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-682502,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-671077,196,,,19.6,,,,,,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-671073,171,,,,171,,,,,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-670772,177,,,,,,,,97.2,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-671127,184,,,18.4,,,,,,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-684501,2,,,,,,,,,,1,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-682008,252,,,25.2,,,,,,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-671074,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-671123,173,,,,,,,,95,,,,,,,,,
2021-08-15 4:20,raeon-1,,aquaMeasure-670792,183,,,,,,,,100.5,,,,,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-671132,242,,,24.2,,,,,,,,,,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-671121,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-684503,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-670774,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-684004,32,,,,,,,,,,,,56.7,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-671125,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-684005,242,,,24.2,,,,,,,,,,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-671124,248,,,24.8,,,,,,,,,,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-682502,17,,,,17,,,,,,,,,,,,,
2021-08-15 4:21,raeon-1,,aquaMeasure-682509,1,,,,,,,,,,,0.2,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-670792,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-671127,51,,,,,,,,28,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-682517,13,,,,13,,,,,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-671073,170,,,,,,,,93.3,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-671074,207,,,,,,,,113.6,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-671077,64,,,,,,,,35.1,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-684501,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-671121,168,,,,168,,,,,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-684503,1,,,,,,,,,,1,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-671123,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-670772,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-671132,164,,,,,,,,90,,,,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-682523,17,,,,,,,,,,,3.3,,,,,,
2021-08-15 4:22,raeon-1,,aquaMeasure-684004,250,,,25,,,,,,,,,,,,,,
