"V1","peak","peak.WL"
"BLANK_1","1.84754370328932e-08","225.7819366"
"BLANK_2","-9.81317782391052e-07","223.582077"
"S212_1","2.62655489551456e-05","224.5249176"
"S212_2","2.587091000683e-05","224.5249176"
"S229_1","3.65673070396828e-05","224.8391876"
"S229_2","3.58337392195537e-05","224.5249176"
"S239_1","2.67501680299005e-05","223.2677765"
"S239_2","2.52985360039301e-05","224.5249176"
"S237_1","2.08876399134894e-05","224.5249176"
"S237_2","2.04285923147936e-05","224.5249176"
"CTL3_1","2.27256036046318e-05","224.5249176"
"CTL3_2","2.26536455212525e-05","224.5249176"
"S213_1","2.50193071338707e-05","225.7819366"
"S213_2","2.58376042969502e-05","224.5249176"
"S216_1","2.33783653232501e-05","224.5249176"
"S216_2","2.32544156148224e-05","224.3677826"
"S242_1","2.9288125546655e-05","224.5249176"
"S242_2","2.96699144519837e-05","224.5249176"
"S235_1","3.56483375887094e-05","224.5249176"
"S235_2","3.76670234625081e-05","224.5249176"
"S225_1","1.70585115525305e-05","223.582077"
"S225_2","1.79899011186773e-05","224.5249176"
"S295_1","6.79083196402439e-05","224.5249176"
"S295_2","6.8164899681413e-05","224.6820526"
"S220_1","5.2512614627395e-05","224.5249176"
"S220_2","5.26241484712055e-05","224.5249176"
"S236_1","1.36460559047001e-05","224.3677826"
"S236_2","1.58867200850982e-05","225.7819366"
"S207_1","2.73988585949789e-05","224.5249176"
"S207_2","2.66964716197675e-05","224.5249176"
"S226_1","3.29524996009797e-05","224.5249176"
"S226_2","3.295962852563e-05","224.5249176"
"S233_1","1.93099799094826e-05","224.5249176"
"S233_2","1.90162418020048e-05","224.5249176"
"S227_1","2.55526724593273e-05","224.5249176"
"S227_2","2.54643115283523e-05","224.5249176"
"S217_1","1.90617871473493e-05","224.3677826"
"S217_2","1.9521983626875e-05","224.3677826"
"DET001_1","3.96603074953934e-05","224.5249176"
"DET001_2","3.81878238008908e-05","224.5249176"
"S206_1","1.98059499647213e-05","224.5249176"
"S206_2","1.80670664250523e-05","224.5249176"
"S218_1","1.51646100327604e-05","224.3677826"
"S218_2","1.59684437422616e-05","224.5249176"
"S247_1","3.92728115079962e-05","224.5249176"
"S247_2","3.82501620236319e-05","224.5249176"
"S228_1","3.5325897935807e-05","224.5249176"
"S228_2","3.6421590335825e-05","224.6820526"
"S300_1","5.12949190072988e-05","224.5249176"
"S300_2","5.0784167615586e-05","224.5249176"
"S208_1","1.39884109177883e-05","224.3677826"
"S208_2","1.40572246970083e-05","224.3677826"
"S215_1","1.72409773121612e-05","224.5249176"
"S215_2","1.77633846295197e-05","224.5249176"
"S221_1","2.4653179934552e-05","224.5249176"
"S221_2","2.53827170712472e-05","224.5249176"
"S211_1","1.82600250479639e-05","224.5249176"
"S211_2","1.85728321374489e-05","223.582077"
"S241_1","4.55608851243637e-05","224.5249176"
"S241_2","4.54417916891571e-05","224.5249176"
"S214_1","2.67577283928332e-05","224.9963226"
"S214_2","2.66564748412562e-05","224.5249176"
"S284_1","6.95370611017917e-05","224.5249176"
"S284_2","6.99644234634549e-05","224.5249176"
"S278_1","8.56263365353789e-05","224.5249176"
"S278_2","8.53965780120219e-05","224.5249176"
"S288_1","4.88717331623276e-05","224.5249176"
"S288_2","4.64164710496383e-05","224.5249176"
"S303_1","4.21250231336592e-05","224.5249176"
"S303_2","4.15565543765922e-05","224.5249176"
"S309_1","4.41684448877208e-05","224.5249176"
"S309_2","4.44796337036157e-05","224.5249176"
"S308_1","4.02684159674151e-05","224.5249176"
"S308_2","4.0318899477548e-05","224.6820526"
"S280_1","5.98846226772356e-05","224.5249176"
"S280_2","5.9448947805251e-05","224.5249176"
"S287_1","6.28241152602283e-05","224.5249176"
"S287_2","6.02284693312463e-05","224.8391876"
"S281_1","5.47152534733453e-05","224.5249176"
"S281_2","5.35770561232927e-05","224.8391876"
"CTL6_1","2.42239948966987e-05","224.5249176"
"CTL6_2","2.26671523866219e-05","224.3677826"
"S286_1","6.16070511437465e-05","224.5249176"
"S286_2","6.29074551501528e-05","224.5249176"
"CTL4_1","2.31539554738401e-05","224.3677826"
"CTL4_2","2.23819819782781e-05","223.1106262"
"S279_1","7.96255309989962e-05","224.5249176"
"S279_2","7.68767713744921e-05","224.5249176"
"S286BIS_1","8.97700398413272e-05","224.5249176"
"S286BIS_2","9.06220202485564e-05","224.5249176"
"S283_1","6.72186957218297e-05","224.5249176"
"S283_2","6.90758021483845e-05","224.5249176"
"S2821","5.8470631355129e-05","224.5249176"
"S282_2","6.14345011093028e-05","224.5249176"
"S302_1","6.13920048902472e-05","224.5249176"
"S302_2","6.20520965845986e-05","224.5249176"
